entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
서울특별시 > 여자 > 5 - 9세,2023,적용인구 (명),147065,,data,0,데이터,106,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 5 - 9세,2024,적용인구 (명),137395,,data,0,데이터,106,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 10 - 14세,2023,적용인구 (명),171102,,data,0,데이터,107,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 10 - 14세,2024,적용인구 (명),170033,,data,0,데이터,107,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 15 - 19세,2023,적용인구 (명),184776,,data,0,데이터,108,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 15 - 19세,2024,적용인구 (명),181677,,data,0,데이터,108,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 20 - 24세,2023,적용인구 (명),317283,,data,0,데이터,109,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 20 - 24세,2024,적용인구 (명),308479,,data,0,데이터,109,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 25 - 29세,2023,적용인구 (명),439099,,data,0,데이터,110,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 25 - 29세,2024,적용인구 (명),432544,,data,0,데이터,110,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 30 - 34세,2023,적용인구 (명),403403,,data,0,데이터,111,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 30 - 34세,2024,적용인구 (명),412147,,data,0,데이터,111,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 35 - 39세,2023,적용인구 (명),338649,,data,0,데이터,112,4,1,none,,DITTO_FILLED
